window,file,bytes_gz,events
KXGOLD15M-26AUG050000-00,events/KXGOLD15M-26AUG050000-00/2026-08-05.ndjson.gz,591412,38127
KXGOLD15M-26AUG050800-00,events/KXGOLD15M-26AUG050800-00/2026-08-05.ndjson.gz,449032,29015
KXGOLD15M-26AUG051300-00,events/KXGOLD15M-26AUG051300-00/2026-08-05.ndjson.gz,578636,36342
KXGOLD15M-26AUG060000-00,events/KXGOLD15M-26AUG060000-00/2026-08-06.ndjson.gz,761301,49528
KXGOLD15M-26AUG060800-00,events/KXGOLD15M-26AUG060800-00/2026-08-06.ndjson.gz,756390,50825
KXGOLD15M-26AUG061300-00,events/KXGOLD15M-26AUG061300-00/2026-08-06.ndjson.gz,619532,39880
KXGOLD15M-26AUG070000-00,events/KXGOLD15M-26AUG070000-00/2026-08-07.ndjson.gz,726490,45393
KXGOLD15M-26AUG070800-00,events/KXGOLD15M-26AUG070800-00/2026-08-07.ndjson.gz,915895,58952
KXGOLD15M-26AUG071300-00,events/KXGOLD15M-26AUG071300-00/2026-08-07.ndjson.gz,916045,57690
KXGOLD15M-26AUG101800-00,events/KXGOLD15M-26AUG101800-00/2026-08-10.ndjson.gz,537861,33746
KXGOLD15M-26AUG101815-15,events/KXGOLD15M-26AUG101815-15/2026-08-10.ndjson.gz,831496,54362
KXGOLD15M-26AUG101830-30,events/KXGOLD15M-26AUG101830-30/2026-08-10.ndjson.gz,466629,29734
KXGOLD15M-26AUG101845-45,events/KXGOLD15M-26AUG101845-45/2026-08-10.ndjson.gz,555830,35670
KXGOLD15M-26AUG101900-00,events/KXGOLD15M-26AUG101900-00/2026-08-10.ndjson.gz,373228,23003
KXGOLD15M-26AUG101915-15,events/KXGOLD15M-26AUG101915-15/2026-08-10.ndjson.gz,722977,46369
KXGOLD15M-26AUG101930-30,events/KXGOLD15M-26AUG101930-30/2026-08-10.ndjson.gz,459122,28519
KXGOLD15M-26AUG101945-45,events/KXGOLD15M-26AUG101945-45/2026-08-10.ndjson.gz,444812,27680
KXGOLD15M-26AUG102000-00,events/KXGOLD15M-26AUG102000-00/2026-08-10.ndjson.gz,733534,47653
KXGOLD15M-26AUG102000-00,events/KXGOLD15M-26AUG102000-00/2026-08-11.ndjson.gz,323,5
