window,event_ticker,open_time,close_time,strike_type,floor_strike,status,result,expiration_value,settlement_value_dollars,settlement_ts,price_level_structure,volume_fp,open_interest_fp
KXGOLD15M-26AUG050000-00,KXGOLD15M-26AUG050000,2026-08-05T03:45:00Z,2026-08-05T04:00:00Z,greater_or_equal,4128.56,finalized,no,4128.40,0.0000,2026-08-05T04:00:04.828502Z,linear_cent,23727.91,6556.98
KXGOLD15M-26AUG050800-00,KXGOLD15M-26AUG050800,2026-08-05T11:45:00Z,2026-08-05T12:00:00Z,greater_or_equal,4184.96,finalized,yes,4189.00,1.0000,2026-08-05T12:00:10.878759Z,linear_cent,8721.70,4210.26
KXGOLD15M-26AUG051300-00,KXGOLD15M-26AUG051300,2026-08-05T16:45:00Z,2026-08-05T17:00:00Z,greater_or_equal,4244.85,finalized,no,4242.39,0.0000,2026-08-05T17:00:10.881505Z,linear_cent,44972.08,17484.11
KXGOLD15M-26AUG060000-00,KXGOLD15M-26AUG060000,2026-08-06T03:45:00Z,2026-08-06T04:00:00Z,greater_or_equal,4262.88,finalized,yes,4265.55,1.0000,2026-08-06T04:00:04.134979Z,linear_cent,49826.72,22032.79
KXGOLD15M-26AUG060800-00,KXGOLD15M-26AUG060800,2026-08-06T11:45:00Z,2026-08-06T12:00:00Z,greater_or_equal,4260.59,finalized,yes,4263.43,1.0000,2026-08-06T12:00:01.711377Z,linear_cent,27252.45,6542.23
KXGOLD15M-26AUG061300-00,KXGOLD15M-26AUG061300,2026-08-06T16:45:00Z,2026-08-06T17:00:00Z,greater_or_equal,4233.59,finalized,yes,4241.28,1.0000,2026-08-06T17:00:01.711407Z,linear_cent,40536.61,17120.28
KXGOLD15M-26AUG070000-00,KXGOLD15M-26AUG070000,2026-08-07T03:45:00Z,2026-08-07T04:00:00Z,greater_or_equal,4260.78,finalized,yes,4266.21,1.0000,2026-08-07T04:00:05.472083Z,linear_cent,50574.07,16293.00
KXGOLD15M-26AUG070800-00,KXGOLD15M-26AUG070800,2026-08-07T11:45:00Z,2026-08-07T12:00:00Z,greater_or_equal,4323.24,finalized,no,4321.36,0.0000,2026-08-07T12:00:05.460745Z,linear_cent,34997.42,8360.09
KXGOLD15M-26AUG071300-00,KXGOLD15M-26AUG071300,2026-08-07T16:45:00Z,2026-08-07T17:00:00Z,greater_or_equal,4338.7,finalized,no,4329.47,0.0000,2026-08-07T17:00:05.460126Z,linear_cent,52620.70,25866.81
KXGOLD15M-26AUG101800-00,KXGOLD15M-26AUG101800,2026-08-10T21:45:00Z,2026-08-10T22:00:00Z,greater_or_equal,4394.94,finalized,no,4392.07,0.0000,2026-08-10T22:00:05.462145Z,linear_cent,32310.99,17670.44
